"DateTime";"Norge";"Utlandet";"Ukjent"
"2020-02-21 00:00:00";0;1;0
"2020-02-26 00:00:00";1;2;0
"2020-02-27 00:00:00";0;2;0
"2020-02-28 00:00:00";7;2;0
"2020-02-29 00:00:00";3;3;0
"2020-03-01 00:00:00";0;10;0
"2020-03-02 00:00:00";2;10;0
"2020-03-03 00:00:00";4;26;1
"2020-03-04 00:00:00";5;27;0
"2020-03-05 00:00:00";19;14;0
"2020-03-06 00:00:00";8;16;1
"2020-03-07 00:00:00";5;12;3
"2020-03-08 00:00:00";21;40;3
"2020-03-09 00:00:00";32;201;11
"2020-03-10 00:00:00";52;178;12
"2020-03-11 00:00:00";64;94;16
"2020-03-12 00:00:00";97;97;14
"2020-03-13 00:00:00";75;50;20
"2020-03-14 00:00:00";74;18;8
"2020-03-15 00:00:00";70;17;14
"2020-03-16 00:00:00";133;28;19
"2020-03-17 00:00:00";115;34;21
"2020-03-18 00:00:00";130;31;35
"2020-03-19 00:00:00";129;28;46
"2020-03-20 00:00:00";186;37;58
"2020-03-21 00:00:00";69;27;10
"2020-03-22 00:00:00";57;25;29
"2020-03-23 00:00:00";116;25;98
"2020-03-24 00:00:00";30;23;134
"2020-03-25 00:00:00";1;1;19